run_id,notebook,model,precision,runtime,device,input_tokens,output_tokens,ttft_s,decode_tps,peak_mem_mib,model_file_mib,quality_score,timestamp,notes,source,cpu_rss_delta_mib
a389858c,v2_d2_01,Qwen2.5-0.5B-Instruct,sparse-0.0,transformers,T4,45,96,0.044,26.1,1898.2,1201.9,,2026-07-24T01:30:00+00:00,ppl=14.82; zero=0.00,measured,
54306f0f,v2_d2_01,Qwen2.5-0.5B-Instruct,sparse-0.3,transformers,T4,45,96,0.04,24.6,1898.2,1201.9,,2026-07-24T01:30:15+00:00,ppl=27.72; zero=0.30,measured,
107ba0bd,v2_d2_01,Qwen2.5-0.5B-Instruct,sparse-0.5,transformers,T4,45,96,0.041,24.4,1898.5,1201.9,,2026-07-24T01:30:30+00:00,ppl=1494.25; zero=0.50,measured,
8b88abe6,v2_d2_01,Qwen2.5-0.5B-Instruct,sparse-0.7,transformers,T4,45,96,0.047,24.1,1898.5,1201.9,,2026-07-24T01:30:45+00:00,ppl=2573425.95; zero=0.70,measured,
