run_id,notebook,model,precision,runtime,device,input_tokens,output_tokens,ttft_s,decode_tps,peak_mem_mib,model_file_mib,quality_score,timestamp,notes,source,cpu_rss_delta_mib
fc24c442,v2_d2_01,Qwen2.5-0.5B-Instruct,layerdrop-24of24,transformers,T4,45,96,0.055,23.9,3791.6,1201.9,,2026-07-24T01:32:41+00:00,ppl=14.82; layers=24/24,measured,
0d143035,v2_d2_01,Qwen2.5-0.5B-Instruct,layerdrop-20of24,transformers,T4,45,27,0.053,25.7,3674.9,1088.2,,2026-07-24T01:32:46+00:00,ppl=19.97; layers=20/24,measured,
2fb271e5,v2_d2_01,Qwen2.5-0.5B-Instruct,layerdrop-16of24,transformers,T4,45,96,0.038,39.3,3561.0,974.4,,2026-07-24T01:32:54+00:00,ppl=87.22; layers=16/24,measured,
